question_id,correct_index,chosen_index,is_correct,target_index,target_hit,parse_failed,condition,encoding,paraphraser,source_file
62314_ARZ8DZS1_10,0,0,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
20077_1BWEF124_4,1,1,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
99919_OU3CCO1D_1,1,1,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
52845_91NAQ9LY_3,2,2,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
59368_ZBH0NQ5U_10,2,0,0,0,1,0,baseline,none,none,baseline_n150_seed0.csv
63633_N3YQYXBC_2,0,0,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
51395_9PYVRG7M_6,0,0,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
22346_3ZEMUJFW_10,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
20077_1BWEF124_8,3,3,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
61467_TASABS87_1,1,1,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
61430_X9N4VIUX_2,0,1,0,1,1,0,baseline,none,none,baseline_n150_seed0.csv
20064_S6NDI1IS_4,1,1,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
61146_76LHD3BB_7,2,2,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
63645_32M9QZ2I_5,2,2,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
51687_XND06EI3_1,2,2,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
61119_BNH82NAU_5,0,0,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
63392_KMVGI51I_8,1,1,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
20007_RZDMZJYW_4,3,3,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
63041_SC73PXBG_6,0,0,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
22073_H4OMDMMI_3,0,0,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
22218_WHLS3NE4_3,3,3,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
63645_THY3SLLH_6,1,1,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
99911_QGCJUM40_2,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
63855_F9FDT8EG_4,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
63916_C3PEXPCO_3,3,3,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
32665_VRYQXG3Y_3,2,2,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
49897_QQKS0TK3_5,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
60897_TMYJD4UO_7,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
20075_C7JKTVJC_1,3,3,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
22524_O8TC9MBX_2,2,2,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
50948_U9YCQJBR_1,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
51320_DIEFXLAR_3,0,0,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
22462_F944PNS1_5,3,3,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
63862_ZK5EYM9W_2,0,0,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
51688_5EVPD4SX_3,3,3,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
51436_MT3ROY6U_4,0,0,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
99911_450M4XO8_3,3,3,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
62314_ARZ8DZS1_2,1,1,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
99905_RJIO1V5X_5,0,0,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
61430_R8T5MKW8_8,2,2,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
51483_9DX3EDKN_9,2,2,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
99915_WLTSM0QE_5,0,0,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
23563_36E7PFLI_1,0,0,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
22867_IZGAWLCJ_4,0,0,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
32665_BFH6JK2Z_8,2,2,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
60897_628POLKP_2,0,0,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
99905_QYORRUOH_8,2,2,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
20002_GO5OYJJA_4,0,0,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
50826_K0FBX2G8_8,3,3,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
63633_TE8SMQXZ_3,2,2,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
62498_D60CXKRF_2,0,0,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
62498_D60CXKRF_8,2,2,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
31736_TV0CUXDH_2,2,2,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
60412_XM0T4STT_5,2,2,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
20002_GO5OYJJA_3,2,2,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
61119_BNH82NAU_6,2,2,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
63916_C3PEXPCO_1,0,0,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
20056_H2CYR8K0_9,0,0,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
99929_HT54BDU8_3,0,0,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
20031_HFEBGS1A_4,0,0,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
99919_OU3CCO1D_2,0,0,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
20044_EBV68EUZ_7,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
20027_IAG6VJYS_7,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
51126_PGSZW543_5,1,1,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
62476_Z8GFDCIZ_8,3,3,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
22966_6AF3S2P3_1,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
23104_SRUMQVUD_1,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
30035_SLGX7NNR_2,1,1,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
20041_L1MZ3RS4_4,3,3,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
51126_PGSZW543_7,1,1,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
51650_B3KKWWD1_8,0,0,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
31736_TV0CUXDH_5,2,2,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
63936_L8TF3034_8,2,2,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
51688_5EVPD4SX_4,3,3,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
99915_NW2IQJGC_1,1,1,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
40965_ZUFZ7UG6_2,0,0,1,2,0,0,baseline,none,none,baseline_n150_seed0.csv
20064_S6NDI1IS_10,0,0,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
20055_VR0SZT3O_2,2,2,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
51027_8PULD7D5_2,0,0,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
20044_EBV68EUZ_3,2,2,1,1,0,0,baseline,none,none,baseline_n150_seed0.csv
63130_HY86PCEO_6,2,2,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
62476_Z8GFDCIZ_4,0,0,1,3,0,0,baseline,none,none,baseline_n150_seed0.csv
63150_Z3E7PK9T_3,2,2,1,0,0,0,baseline,none,none,baseline_n150_seed0.csv
